date,S_t,U_t,P_t,tone_strength,Vol_t,DeltaPrice_t,return_pct,sigma_wide,sigma_pre,CredGap_t,t5yifr,regime,VIX_t,has_pressconf,S_x_CredGap,S_x_VIX,U_x_CredGap
2020-07-29,0.0528292971663177,0.6488306158008939,-0.5850307871308998,0.5850307871308998,0.0001127636159483,0.03125,0.0223738673229667,0.0001044194395335,6.94902301961347e-05,0.3400000000000001,1.66,below_target,25.44,True,0.017961961036548024,1.3439773199111225,0.22060240937230396
2020-09-16,0.0785525701319178,0.6104337899995834,-0.4347538567604884,0.4347538567604884,0.0001707360111861,-0.140625,-0.1007500279861188,0.0001696614352009,8.737874109916458e-05,0.19999999999999996,1.8,below_target,25.59,True,0.015710514026383557,2.0101602696757763,0.12208675799991665
2020-11-05,0.0742326674982905,0.6494345543656312,-0.7169146158622526,0.7169146158622526,7.140197950468369e-05,0.078125,0.0562429696287964,9.71765262411014e-05,7.669717038610299e-05,0.28,1.72,below_target,29.57,True,0.02078514689952134,2.19505997792445,0.18184167522237676
2020-12-16,0.1199044513632543,0.668310439032949,-0.10840596243585805,0.10840596243585805,0.0001834254845612,-0.078125,-0.0566572237960339,0.0001681076330605,8.635844859533373e-05,0.040000000000000036,1.96,anchored,22.89,True,0.004796178054530176,2.744612891704891,0.026732417561317983
2021-01-27,0.1590870316140353,0.6364603139330073,0.048041162931577196,0.048041162931577196,0.0001031394447321,-0.015625,-0.0113584734211721,9.642116386289228e-05,7.933952946677406e-05,0.009999999999999787,2.01,anchored,23.02,True,0.0015908703161403193,3.6621834677550926,0.006364603139329937
2021-03-17,0.223225480527617,0.6184901578633851,0.09427697821868383,0.09427697821868383,0.0003487911579735,0.515625,0.3916913946587537,0.0003056466128108,0.0001055271169225,0.009999999999999787,2.01,anchored,19.79,True,0.0022322548052761226,4.4176322596415405,0.0061849015786337195
2021-04-28,0.3823711994816275,0.6355198719934242,-0.16758631233494814,0.16758631233494814,0.0002252296231663,0.265625,0.2014456689181182,0.0002034631193683,8.626513065505579e-05,0.27,2.27,above_target,17.56,True,0.10324022386003943,6.714438262897379,0.17159036543822453
2021-06-16,0.4709176741102162,0.6789980471451285,-0.3838733862342211,0.3838733862342211,0.0005095263176069,-0.9375,-0.7070469007777516,0.0004308227146557,7.209973174930622e-05,0.2999999999999998,2.3,above_target,17.02,True,0.14127530223306478,8.01501881335588,0.20369941414353843
2021-07-28,0.5625730810467812,0.6550254910201817,0.3590872967934065,0.3590872967934065,0.000336120925497,-0.09375,-0.0697836706210746,0.0002881313951049,8.202184509546392e-05,0.20999999999999996,2.21,above_target,19.36,True,0.11814034701982402,10.891414849065683,0.13755535311423814
2021-09-22,0.5200105018189384,0.6187308369652932,1.95559510233241,1.95559510233241,0.0002754802646126,-0.140625,-0.1055347091932457,0.0002395394111811,8.936838979487279e-05,0.14000000000000012,2.14,above_target,24.36,True,0.07280147025465143,12.66745582430934,0.08662231717514113
2021-11-03,0.3515766186728364,0.6750741705596214,-0.4195676817340766,0.4195676817340766,0.0002852532052072,-0.078125,-0.0597585753555635,0.0002611045038421,7.940135599208693e-05,0.18000000000000016,2.18,above_target,16.03,True,0.0632837913611106,5.635773197325568,0.12151335070073195
